,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[322],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[323],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[324],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[325],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[326],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[327],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[328],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[329],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[330],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[331],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[332],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
