,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[227],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[228],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[229],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[230],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[231],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[232],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[233],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[234],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[235],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[236],0.438,0.045,0.353,0.523,0.001,0.0,5782.0,9603.0,1.0
p[237],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[238],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[239],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
p[240],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[241],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[242],0.328,0.062,0.213,0.443,0.002,0.0,1551.0,6771.0,1.0
p[243],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[244],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[245],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[246],0.331,0.036,0.262,0.399,0.0,0.0,5879.0,10527.0,1.0
p[247],0.65,0.085,0.5,0.81,0.002,0.001,2660.0,7203.0,1.0
